,neuron_type,n,loss,val_loss
500,silu,6,0.004057957790791988,0.004006123635917902
501,tanh,6,0.0032446119002997875,0.00368583295494318
502,gelu,6,0.0038885686080902815,0.00416473438963294
503,silu,6,0.0046297842636704445,0.004607663489878178
504,tanh,6,0.0030015495140105486,0.0031786176841706038
505,gelu,6,0.0035719319712370634,0.0037990997079759836
506,silu,6,0.0031482817139476538,0.0033055213280022144
507,tanh,6,0.0031941772904247046,0.00335185625590384
508,gelu,6,0.0038410359993577003,0.004203125834465027
509,silu,6,0.0032574832439422607,0.003497328609228134
510,tanh,6,0.002974174451082945,0.0031695764046162367
511,gelu,6,0.003250465029850602,0.003636307315900922
512,silu,6,0.002849157201126218,0.0030254104640334845
513,tanh,6,0.003379301866516471,0.0038766174111515284
514,gelu,6,0.0038159266114234924,0.004002545028924942
515,silu,6,0.0031959800980985165,0.003279363503679633
516,tanh,6,0.0029642886947840452,0.003365597687661648
517,gelu,6,0.0033837435767054558,0.003823749488219619
518,silu,6,0.0041325888596475124,0.004249734804034233
519,tanh,6,0.003383026458323002,0.003959972877055407
520,gelu,6,0.0037677083164453506,0.003922881092876196
521,silu,6,0.0032270969823002815,0.003289224347099662
522,tanh,6,0.0036103115417063236,0.004037007689476013
523,gelu,6,0.003215720411390066,0.0034037732984870672
524,silu,6,0.0030090322252362967,0.003010306041687727
525,tanh,6,0.0035419976338744164,0.003763629822060466
